District,Latitude,Longitude,Year,Crop_Production (Tonnes),Food_Price_Index,Malnutrition_Rate (%),Income_Per_Capita (INR),Employment_in_Agri (%),Undernourishment (%),Dietary_Diversity_Score,Risk_Category
Ranipet,12.9236,79.3333,2018,30068,96.62383136185689,18.8201837496498,173852,65.58193448676518,26.91710533651621,9.163838396372698,1
Madurai,9.9252,78.1198,2018,30939,148.4754467968591,13.22638667372441,75570,54.052505586522265,8.418056909336645,3.2400417481737964,1
Perambalur,11.2333,78.8833,2024,38885,106.39377517011891,30.684608659839807,69731,37.26719889631652,8.151385784017585,7.260789544224506,1
Tiruchirappalli,10.7905,78.7047,2022,5680,137.02697032969925,32.98603070379899,134085,33.30106883644009,5.132854228871551,6.194155381607214,1
Cuddalore,11.7447,79.768,2016,35676,128.38726646501925,31.242981876619805,131720,23.122376559875374,9.049179610073509,8.724569766855932,1
Madurai,9.9252,78.1198,2015,15531,106.66662915164324,9.900633492294697,200840,58.48210819418272,23.56803742966044,6.300780886117156,1
Thanjavur,10.7867,79.1378,2022,29123,122.35626629783768,26.31054502136997,245543,44.61787972647448,12.041983861863123,5.7029547897,1
Nagapattinam,10.7662,79.842,2023,11859,124.92736617610048,12.33965163814139,130141,62.50859726025238,20.68890059676616,6.395503898942216,1
Thoothukudi,8.7642,78.1348,2017,16705,117.88890776591748,20.75954793352164,113888,67.56981862422077,26.16087940768267,6.974796778206212,1
Vellore,12.9165,79.1325,2021,49049,93.29552955202928,26.479540806251723,51909,23.55901181590432,8.870393871793382,3.110151862614811,1
Sivaganga,9.847,78.4804,2020,44104,89.66877051981731,13.03991800653134,94484,20.68665940412892,29.677059100149258,8.983222924215076,1
Tirunelveli,8.7139,77.7567,2016,39485,146.7542825480783,8.81331472601072,191167,32.49268980391648,18.31779055097463,4.923153759074107,1
Tiruvannamalai,12.2253,79.0747,2023,44486,140.64962284777903,8.78330425035875,69239,61.893663505968135,24.499011513509824,9.553036731591163,1
Erode,11.341,77.7172,2015,19031,149.70141164359262,24.992219140847567,244243,69.1340024361217,27.77197262016109,6.8092750796191055,1
Dindigul,10.3624,77.9695,2016,20228,128.44353871278213,25.285872390696177,184484,66.10244010635537,12.71964145881465,4.456769974943552,1
Perambalur,11.2333,78.8833,2023,21436,127.29107414972071,28.70249749914313,148843,36.20675869163982,22.2402004750102,5.476619814507829,1
Nilgiris,11.4102,76.695,2020,27625,111.50410475983576,15.90211795998281,96389,26.601758844499777,29.196558779080327,6.074473576523122,1
Erode,11.341,77.7172,2017,8327,141.28420552771274,22.42305750843265,192728,62.79114535619518,24.76932659330085,9.900647747058976,1
Virudhunagar,9.5851,77.957,2017,43712,89.97895885231809,31.724964448689008,146856,31.10410941044949,7.926126817658154,6.354513802034614,1
Namakkal,11.2189,78.1675,2020,11771,135.7508393066434,23.69413561243476,137193,22.824171200174103,11.039625016770836,9.054957811206744,1
Erode,11.341,77.7172,2016,16707,108.1892604696192,11.731489393993863,162223,31.70995298940451,21.60381912636205,9.574821602380666,1
Ranipet,12.9236,79.3333,2018,43215,102.42809002981504,25.533060832079222,162201,65.74289029603798,20.033990181958856,7.140566724944878,1
Tiruchirappalli,10.7905,78.7047,2023,30398,119.60214654293024,19.94999084882712,73932,68.02842681617176,23.35271453077257,5.767495576029682,1
Ariyalur,11.136,79.0758,2020,24356,139.1266136363157,6.197675976912537,72419,48.55465812172574,20.21994900450984,5.61544256464907,1
Tirunelveli,8.7139,77.7567,2021,27063,106.669389156788,14.083253848159016,207541,32.43626968953123,25.27070283405677,3.60804035590328,1
Cuddalore,11.7447,79.768,2016,24581,109.27013517139598,32.97700126117883,88346,55.05056335475204,6.480582634915187,4.522133438053902,1
Tiruvannamalai,12.2253,79.0747,2018,42158,131.4055973544553,13.817502815148012,93601,62.27755977484498,29.34451252447322,5.565455054128144,1
Namakkal,11.2189,78.1675,2021,36802,138.44630439860828,11.053848447573706,184365,65.57956139030634,9.428036440060488,9.747606139882604,1
Virudhunagar,9.5851,77.957,2023,35881,113.41452786856809,30.738047419919862,153579,61.04201183524255,19.175308135504302,6.685636134132652,1
Salem,11.6643,78.146,2016,34084,96.09956277742684,6.75373961710631,154301,33.254458437601805,25.18027491063544,4.311452923636989,1
Krishnagiri,12.5192,78.212,2019,32518,137.40472514389546,16.588631154366357,217610,56.94641480654775,5.216727246128276,7.98420549938116,1
Tiruvannamalai,12.2253,79.0747,2015,22376,144.05425127620558,22.127211612564345,172762,40.34113236992325,5.628493143907854,4.1213748924381,1
Tiruvannamalai,12.2253,79.0747,2017,15738,124.10651888031644,14.68429380343551,148537,60.65749941819071,21.21317567060507,4.952763360941358,1
Erode,11.341,77.7172,2015,46094,80.00215031917676,34.862645387763685,131099,47.68389167697167,7.372697744151949,4.877975368776415,1
Vellore,12.9165,79.1325,2016,42004,136.96063406055592,30.345922562315256,67221,28.41055462167708,19.71465243373136,7.36081021381667,1
Tenkasi,8.9591,77.3152,2023,32081,128.64671835401333,9.70281285954918,55435,28.7305458491131,22.908862071852173,9.932621007052038,1
Chennai,13.0827,80.2707,2019,16382,100.85840648470906,30.57627934626501,177818,56.52081325098678,21.11680715180711,5.287187437341599,1
Pudukkottai,10.3833,78.8,2018,28736,145.68210100559213,19.20306978125064,233024,45.4345970364688,12.367871171411718,4.247832470421415,1
Pudukkottai,10.3833,78.8,2023,43709,82.81806021064625,8.910593901297966,201007,64.56003987009046,23.28052774683116,5.914745190993442,1
Dindigul,10.3624,77.9695,2015,49535,146.4491174371932,6.686417163796355,197478,44.176103368248576,29.80604787152805,3.1781300030652733,1
Tenkasi,8.9591,77.3152,2017,15966,146.21796228919197,15.80179705792178,118515,34.901966604722546,18.381318365732728,8.250646889975474,1
Krishnagiri,12.5192,78.212,2017,21402,96.20326496357086,25.291951067300182,107089,58.1981598162809,19.157403593102188,4.579862720733011,1
Chennai,13.0827,80.2707,2015,26515,91.96554816945938,25.4934285716914,63777,20.5399196194756,9.29684256348117,4.932602619424836,1
Ranipet,12.9236,79.3333,2024,34872,104.19057101095692,29.76604524561247,144924,53.17510347026285,25.853380960259607,6.444571937718906,1
Namakkal,11.2189,78.1675,2023,39998,109.3428013131485,20.54031294128293,110030,43.17757089426621,29.90221818161281,3.507829090906564,1
Dindigul,10.3624,77.9695,2016,30520,115.31191591685489,33.96345903801864,179065,62.89585361217839,20.19272779579818,4.5924362360834365,1
Sivaganga,9.847,78.4804,2020,43078,145.36245961010292,26.82893413099066,197776,23.665290905686,29.466352033449123,3.990864766339744,1
Ranipet,12.9236,79.3333,2020,19901,145.20884400166366,18.40179406107921,222106,64.37709538632069,22.66374505707068,7.937538836276773,1
Vellore,12.9165,79.1325,2018,21544,131.16092420433122,22.422679971669773,93019,25.6336763317395,26.04826686198133,4.415940267634682,1
Perambalur,11.2333,78.8833,2017,31049,144.85246585693295,10.521343161506405,178713,65.88793213175803,12.11489486339796,7.228809374866646,1
Nilgiris,11.4102,76.695,2018,19821,136.1681249115927,29.763196872458863,63444,24.75201203258097,28.477730518317223,6.855202966237505,1
Krishnagiri,12.5192,78.212,2015,15278,121.5969279116018,13.935781951706335,76336,61.66048439789007,20.905470716733618,9.680810568817462,1
Tiruchirappalli,10.7905,78.7047,2020,47056,132.8593532211637,11.985756706282828,95591,56.273901700774346,29.68036137077853,6.9386867847901605,1
Namakkal,11.2189,78.1675,2019,38272,121.0636742798564,19.76005188296248,111750,24.05297819388016,27.04186275717181,9.75072479660082,1
Madurai,9.9252,78.1198,2018,15704,87.3838399222725,25.633076190972044,97098,56.0900210774928,12.742048957823783,3.551726540699488,1
Cuddalore,11.7447,79.768,2022,7642,127.06686903041926,10.040601565780356,179999,63.74938440263257,26.24968982922526,8.515586444710301,1
Coimbatore,11.0168,76.9558,2021,25789,96.29098442408863,33.96829494142652,209413,35.800236143319694,29.022603853223988,8.505842554555073,1
Ariyalur,11.136,79.0758,2022,35957,100.22779674447408,30.59854395701606,140410,35.17481158945076,26.92106329704395,9.78474397175756,1
Erode,11.341,77.7172,2015,10755,132.6727836310546,27.95948898576159,74502,37.31330207673743,22.231100499050577,4.09116488270864,1
Nagapattinam,10.7662,79.842,2017,17905,108.78333331086438,26.517856275972694,206568,68.39848983849777,15.477193841774149,5.709471193739052,1
Nilgiris,11.4102,76.695,2015,27335,121.8994095252432,16.55174167156885,57244,39.20803789767312,8.824046765143594,6.974438695023148,2
Ranipet,12.9236,79.3333,2018,38629,118.42367421480502,5.258570077753408,209297,65.29250960493978,19.428056747861056,5.429329181676439,2
Sivaganga,9.847,78.4804,2018,36455,102.07546202862822,6.462989564394213,60514,65.72208647436692,18.80402067427531,8.258030707660087,2
Thanjavur,10.7867,79.1378,2015,25706,94.28613628090322,18.41908268757802,176913,63.00367594948964,11.37008165079239,5.972418118532036,2
Tirunelveli,8.7139,77.7567,2019,22266,98.61499154424833,19.56902895240021,71577,69.80818465851317,11.006564612473287,9.862900521629648,2
Ranipet,12.9236,79.3333,2016,42102,92.53221462091086,21.39429083076129,116133,64.04407118873684,18.048374101614424,5.579623604868666,2
Ranipet,12.9236,79.3333,2015,39675,124.08744581042951,22.304237589147675,232225,32.11466646002333,17.003155725355228,4.976779770740789,2
Thoothukudi,8.7642,78.1348,2017,27387,95.43413475903245,8.375093915798953,66956,21.83148487994097,17.01675280762692,8.508496741276632,2
Chennai,13.0827,80.2707,2019,37933,99.99381919935702,12.970566945987905,92782,44.96214537623874,13.905282931346733,5.91282981102302,2
Tiruchirappalli,10.7905,78.7047,2020,28989,109.92265697166825,20.086265601967547,149612,66.18715656333242,11.632827674896037,5.970774049239751,2
Cuddalore,11.7447,79.768,2018,36455,102.07546202862822,6.462989564394213,60514,65.72208647436692,18.80402067427531,8.258030707660087,2
Thoothukudi,8.7642,78.1348,2023,44874,118.99283592925246,19.50494255320412,236278,47.79560085371602,8.250656391253315,5.13415550173845,2
Erode,11.341,77.7172,2023,44874,118.99283592925246,19.50494255320412,236278,47.79560085371602,8.250656391253315,5.13415550173845,2
Dindigul,10.3624,77.9695,2015,37954,88.42545033469902,7.358801329692741,168566,60.283768952135205,11.64023644166037,5.9217098939038255,2
Tenkasi,8.9591,77.3152,2015,40386,119.05115729620512,6.653046054764933,100227,39.629387518055566,19.75952413009652,5.5370198783143945,2
Nilgiris,11.4102,76.695,2022,46073,120.93794679140537,24.69688107198957,185481,51.040940175294594,15.720975382434766,3.44166276828251,2
Nagapattinam,10.7662,79.842,2018,20916,84.77306338358238,24.354502499027102,198424,58.16538076061053,18.92312755975517,8.190620766288932,2
Tenkasi,8.9591,77.3152,2017,38458,119.47436967289366,15.074490939246036,195764,37.051008612801695,7.160615811180936,4.923531850952598,2
Vellore,12.9165,79.1325,2016,44850,120.04860746055444,10.00545734616733,140715,43.97596185556769,7.789557828331035,7.726325908581368,2
Salem,11.6643,78.146,2020,28989,109.92265697166825,20.086265601967547,149612,66.18715656333242,11.632827674896037,5.970774049239751,2
Coimbatore,11.0168,76.9558,2024,34566,91.28531683825858,23.701386978797213,103915,55.02274327121789,13.546640044058758,9.889353742029945,2
Erode,11.341,77.7172,2018,37369,100.39527509864212,6.33764278202432,164560,69.09526611434714,13.33780884157167,8.442119397773878,2
Thoothukudi,8.7642,78.1348,2021,40062,88.43131379975958,23.60704546883361,192012,56.711390059304165,13.63652878670672,7.024086466106496,2
Nilgiris,11.4102,76.695,2018,37369,100.39527509864212,6.33764278202432,164560,69.09526611434714,13.33780884157167,8.442119397773878,2
Ariyalur,11.136,79.0758,2015,39675,124.08744581042951,22.304237589147675,232225,32.11466646002333,17.003155725355228,4.976779770740789,2
Madurai,9.9252,78.1198,2022,49589,122.95465320925686,14.284086472658029,118371,51.29919569589768,17.427232733769927,8.433200444281567,2
Madurai,9.9252,78.1198,2016,8262,109.85498230693028,23.862020451799783,71390,27.22898551197924,8.60259907582415,7.682675970477922,2
Namakkal,11.2189,78.1675,2018,20916,84.77306338358238,24.354502499027102,198424,58.16538076061053,18.92312755975517,8.190620766288932,2
Salem,11.6643,78.146,2022,23978,87.56311915634849,15.441558664319617,138478,48.988322871713656,5.466164660369572,3.365719085905796,2
Sivaganga,9.847,78.4804,2016,8262,109.85498230693028,23.862020451799783,71390,27.22898551197924,8.60259907582415,7.682675970477922,2
Vellore,12.9165,79.1325,2015,40386,119.05115729620512,6.653046054764933,100227,39.629387518055566,19.75952413009652,5.5370198783143945,2
Madurai,9.9252,78.1198,2021,43599,128.72559030969273,21.323258718184057,175383,29.159912256331744,13.923432448703377,4.0139697908777086,2
Chennai,13.0827,80.2707,2017,38458,119.47436967289366,15.074490939246036,195764,37.051008612801695,7.160615811180936,4.923531850952598,2
Namakkal,11.2189,78.1675,2015,37954,88.42545033469902,7.358801329692741,168566,60.283768952135205,11.64023644166037,5.9217098939038255,2
Nilgiris,11.4102,76.695,2016,27423,97.2799919317013,24.674623019821784,161672,41.85860247800886,5.696244439568893,4.993992916725318,2
Dindigul,10.3624,77.9695,2016,8262,109.85498230693028,23.862020451799783,71390,27.22898551197924,8.60259907582415,7.682675970477922,2
Krishnagiri,12.5192,78.212,2023,40468,97.6618348948781,14.622007469347135,225295,54.481925982945306,15.067791241292506,3.95082699889286,2
Salem,11.6643,78.146,2015,40386,119.05115729620512,6.653046054764933,100227,39.629387518055566,19.75952413009652,5.5370198783143945,2
Tiruvannamalai,12.2253,79.0747,2021,36085,125.20075303457376,15.846205632888696,66940,45.3228188518257,9.039948898950527,8.098469862335932,2
Tirunelveli,8.7139,77.7567,2022,17742,94.58207730059624,24.213418219797585,165492,64.5234786991945,17.41613030973761,7.896811316358826,2
Dindigul,10.3624,77.9695,2024,6700,114.86909604836296,14.468996461014568,57213,26.428978925583458,6.657254686163756,9.538255434613074,2
Cuddalore,11.7447,79.768,2022,49589,122.95465320925686,14.284086472658029,118371,51.29919569589768,17.427232733769927,8.433200444281567,2
Salem,11.6643,78.146,2015,24238,99.91789699738536,18.737008853812146,63703,38.1383566568738,13.22004511446134,4.797386608765392,2
Erode,11.341,77.7172,2015,27335,121.8994095252432,16.55174167156885,57244,39.20803789767312,8.824046765143594,6.974438695023148,2
Dindigul,10.3624,77.9695,2023,37172,106.79488702821284,24.5056149933696,208322,53.78220319324443,10.33407670082428,5.229285979216138,2
Sivaganga,9.847,78.4804,2015,27335,121.8994095252432,16.55174167156885,57244,39.20803789767312,8.824046765143594,6.974438695023148,2
Salem,11.6643,78.146,2022,49589,122.95465320925686,14.284086472658029,118371,51.29919569589768,17.427232733769927,8.433200444281567,2
Vellore,12.9165,79.1325,2019,7763,89.25257604277103,9.002490065696213,57869,31.2184587849243,17.652077393512773,3.128368723074549,2
Pudukkottai,10.3833,78.8,2018,20916,84.77306338358238,24.354502499027102,198424,58.16538076061053,18.92312755975517,8.190620766288932,2
Pudukkottai,10.3833,78.8,2022,10232,108.0218985321096,9.908486124148288,177785,48.35163917506138,17.556871614884685,3.106491666367488,2
Ariyalur,11.136,79.0758,2018,37369,100.39527509864212,6.33764278202432,164560,69.09526611434714,13.33780884157167,8.442119397773878,2
Ariyalur,11.136,79.0758,2015,40386,119.05115729620512,6.653046054764933,100227,39.629387518055566,19.75952413009652,5.5370198783143945,2
Ranipet,12.9236,79.3333,2019,7763,89.25257604277103,9.002490065696213,57869,31.2184587849243,17.652077393512773,3.128368723074549,2
Pudukkottai,10.3833,78.8,2016,37821,127.90199742477412,22.930470065703773,141141,44.46149501023064,16.306862807228473,7.257492906657027,2
Tiruchirappalli,10.7905,78.7047,2018,6014,126.46771323969077,21.066274192933943,156718,61.241857969787,5.889553644836566,9.736450934067946,2
Namakkal,11.2189,78.1675,2018,36455,102.07546202862822,6.462989564394213,60514,65.72208647436692,18.80402067427531,8.258030707660087,2
Ranipet,12.9236,79.3333,2016,42102,92.53221462091086,21.39429083076129,116133,64.04407118873684,18.048374101614424,5.579623604868666,2
Salem,11.6643,78.146,2018,38629,118.42367421480502,5.258570077753408,209297,65.29250960493978,19.428056747861056,5.429329181676439,2
Chennai,13.0827,80.2707,2015,27335,121.8994095252432,16.55174167156885,57244,39.20803789767312,8.824046765143594,6.974438695023148,2
Thoothukudi,8.7642,78.1348,2020,39779,124.19631843503636,19.63700585837905,106866,64.09516423817297,12.390958294490904,4.491423857122749,2
Namakkal,11.2189,78.1675,2022,49589,122.95465320925686,14.284086472658029,118371,51.29919569589768,17.427232733769927,8.433200444281567,2
Chennai,13.0827,80.2707,2021,39693,83.0846103099267,24.232583107464784,56861,56.65765115532927,18.45168876837057,5.126131623619818,2
Nilgiris,11.4102,76.695,2021,36085,125.20075303457376,15.846205632888696,66940,45.3228188518257,9.039948898950527,8.098469862335932,2
Chennai,13.0827,80.2707,2015,25706,94.28613628090322,18.41908268757802,176913,63.00367594948964,11.37008165079239,5.972418118532036,2
Dindigul,10.3624,77.9695,2020,40931,83.40863938799508,19.070748191536502,134433,61.61195533542208,5.657443167116714,7.1980330777719415,2
Thoothukudi,8.7642,78.1348,2020,33246,128.2517288471883,19.7305928800673,174693,20.919049488762106,14.170147128500142,5.2920839406784665,2
Tiruvannamalai,12.2253,79.0747,2020,25306,110.19111944387105,18.47235542404628,223650,20.44993286416279,9.482405881501212,7.821372611714061,2
Chennai,13.0827,80.2707,2024,6700,114.86909604836296,14.468996461014568,57213,26.428978925583458,6.657254686163756,9.538255434613074,2
Cuddalore,11.7447,79.768,2019,7763,89.25257604277103,9.002490065696213,57869,31.2184587849243,17.652077393512773,3.128368723074549,2
Nagapattinam,10.7662,79.842,2015,24238,99.91789699738536,18.737008853812146,63703,38.1383566568738,13.22004511446134,4.797386608765392,2
Virudhunagar,9.5851,77.957,2021,23889,83.44546401785331,10.243438546248017,180429,60.2928852667031,12.85962602668646,9.074474310749345,2
Virudhunagar,9.5851,77.957,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Tiruvannamalai,12.2253,79.0747,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Thanjavur,10.7867,79.1378,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tirupattur,12.4963,78.56,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Dindigul,10.3624,77.9695,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Perambalur,11.2333,78.8833,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Coimbatore,11.0168,76.9558,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tenkasi,8.9591,77.3152,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tirupattur,12.4963,78.56,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Pudukkottai,10.3833,78.8,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Sivaganga,9.847,78.4804,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Cuddalore,11.7447,79.768,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Namakkal,11.2189,78.1675,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Madurai,9.9252,78.1198,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Chennai,13.0827,80.2707,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Madurai,9.9252,78.1198,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tirunelveli,8.7139,77.7567,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tiruvannamalai,12.2253,79.0747,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Nilgiris,11.4102,76.695,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Nilgiris,11.4102,76.695,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Tiruvannamalai,12.2253,79.0747,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Nilgiris,11.4102,76.695,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Namakkal,11.2189,78.1675,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Erode,11.341,77.7172,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tiruchirappalli,10.7905,78.7047,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Erode,11.341,77.7172,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Tirupattur,12.4963,78.56,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Thoothukudi,8.7642,78.1348,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Tiruvannamalai,12.2253,79.0747,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Ranipet,12.9236,79.3333,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Tiruvannamalai,12.2253,79.0747,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Erode,11.341,77.7172,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Vellore,12.9165,79.1325,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Sivaganga,9.847,78.4804,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Madurai,9.9252,78.1198,2018,8765,82.00566993043581,14.785107623847605,237397,43.583159139258015,8.122995268515835,5.032061609892402,3
Virudhunagar,9.5851,77.957,2023,30398,119.60214654293024,19.94999084882712,73932,68.02842681617176,23.35271453077257,5.767495576029682,1
Sivaganga,9.847,78.4804,2021,19026,135.90590462496456,25.600358351723884,136784,43.13439158439135,13.922497179368872,7.521749837494129,1
Ariyalur,11.136,79.0758,2021,40062,88.43131379975958,23.60704546883361,192012,56.711390059304165,13.63652878670672,7.024086466106496,2
Coimbatore,11.0168,76.9558,2015,15878,93.09869892873512,5.509073879463994,122833,49.32297561873988,7.705666169138715,7.19599874477293,3
Virudhunagar,9.5851,77.957,2022,46073,120.93794679140537,24.69688107198957,185481,51.040940175294594,15.720975382434766,3.44166276828251,2
Ranipet,12.9236,79.3333,2015,15531,106.66662915164324,9.900633492294697,200840,58.48210819418272,23.56803742966044,6.300780886117156,1
Dindigul,10.3624,77.9695,2020,24356,139.1266136363157,6.197675976912537,72419,48.55465812172574,20.21994900450984,5.61544256464907,1
