Age,Family_Size,Monthly_Income,Health_Status,Past_Aid,Food_Insecurity_Risk
53,4,12918,Fair,No,1
23,7,17958,Fair,Yes,1
47,9,14968,Good,No,1
46,7,27210,Good,No,0
32,3,33778,Fair,Yes,1
76,3,23019,Poor,No,0
50,8,30089,Good,Yes,0
62,9,6006,Poor,No,2
62,5,2012,Fair,Yes,2
26,4,43976,Poor,Yes,0
47,6,38382,Good,Yes,0
45,4,10436,Good,No,1
68,7,30504,Good,Yes,0
47,5,36050,Poor,Yes,2
25,2,16283,Fair,No,1
79,9,33276,Fair,No,1
41,3,4311,Good,Yes,2
66,5,36923,Fair,No,1
67,6,19266,Poor,Yes,2
48,6,40430,Good,Yes,0
44,6,34886,Good,No,0
26,6,37155,Poor,Yes,2
49,7,12456,Good,No,1
50,7,22612,Good,No,0
53,8,18643,Fair,No,1
23,1,34552,Poor,Yes,0
69,6,31622,Fair,No,1
76,9,44954,Fair,Yes,1
42,7,17880,Fair,No,1
68,8,22380,Poor,Yes,2
26,5,22007,Good,Yes,0
77,7,9198,Poor,No,2
38,9,41744,Poor,No,2
31,6,40247,Poor,Yes,2
20,2,42733,Good,Yes,0
48,4,20697,Fair,Yes,1
25,1,21908,Good,No,0
71,8,39668,Fair,Yes,1
40,2,14876,Poor,No,1
20,8,46561,Good,Yes,0
53,9,33103,Fair,No,1
47,9,43880,Good,No,0
38,7,23093,Poor,Yes,2
52,6,40811,Fair,No,1
31,6,6539,Good,Yes,1
48,2,18328,Fair,Yes,1
36,1,17029,Poor,No,0
68,1,14466,Good,No,1
56,8,29630,Poor,Yes,2
22,8,47734,Fair,Yes,1
48,6,21632,Fair,No,1
57,4,18078,Fair,No,1
56,3,43951,Good,Yes,0
30,2,27232,Poor,No,0
72,1,40042,Poor,No,0
62,3,26602,Poor,No,0
76,2,33497,Good,No,0
56,6,3220,Good,No,2
62,6,45096,Poor,Yes,2
51,5,32572,Good,Yes,0
77,3,39536,Poor,No,0
72,1,9701,Good,No,1
29,4,27749,Good,Yes,0
46,9,42933,Good,No,0
40,1,28502,Good,Yes,0
64,5,39351,Poor,No,2
47,5,8978,Poor,No,2
37,9,30171,Good,Yes,0
74,7,3021,Fair,Yes,2
49,1,28823,Poor,No,0
59,3,5121,Fair,Yes,1
54,2,22989,Good,No,0
49,1,32308,Fair,No,1
24,5,10598,Fair,Yes,1
36,7,28324,Poor,No,2
43,1,44657,Good,Yes,0
43,8,15124,Good,Yes,0
59,6,13861,Fair,Yes,1
54,1,5127,Fair,Yes,1
58,6,46997,Poor,No,2
71,3,23879,Fair,Yes,1
24,3,19750,Poor,No,0
36,8,17391,Good,No,0
47,3,45922,Fair,No,1
75,5,5811,Poor,No,2
52,9,10689,Poor,Yes,2
38,8,4017,Poor,No,2
59,5,13119,Fair,No,1
25,8,25085,Fair,No,1
43,6,11193,Good,No,1
51,9,12651,Fair,Yes,1
24,5,28225,Poor,No,2
25,2,4126,Fair,Yes,2
47,5,5580,Poor,Yes,2
65,8,39969,Fair,Yes,1
50,2,37608,Good,Yes,0
51,6,9673,Good,No,1
23,1,39452,Fair,No,1
69,9,22728,Poor,Yes,2
69,6,41395,Fair,Yes,1
77,4,30940,Good,No,0
55,7,13585,Good,Yes,1
21,9,20851,Poor,Yes,2
59,9,28735,Poor,Yes,2
68,4,20402,Poor,Yes,0
54,6,47222,Fair,No,1
74,8,6568,Good,No,1
77,6,4413,Good,No,2
38,7,44172,Poor,Yes,2
57,2,14499,Fair,Yes,1
61,9,12983,Poor,No,2
73,5,25991,Fair,No,1
75,2,19890,Good,Yes,0
26,5,10164,Fair,Yes,1
68,8,25436,Fair,No,1
77,9,21738,Fair,Yes,1
38,3,47066,Fair,Yes,1
68,2,31668,Fair,Yes,1
18,6,37761,Good,Yes,0
64,2,31126,Good,No,0
41,7,30523,Good,No,0
41,7,23983,Fair,Yes,1
27,5,15729,Fair,Yes,1
59,6,38257,Good,No,0
46,2,5009,Fair,Yes,1
73,6,39026,Poor,No,2
75,4,41826,Fair,Yes,1
54,1,12940,Poor,No,1
33,6,11801,Fair,No,1
37,3,19434,Poor,No,0
29,8,17031,Fair,Yes,1
72,8,34625,Good,Yes,0
33,2,11652,Good,No,1
28,3,32640,Good,Yes,0
69,5,10187,Good,No,1
57,8,13363,Fair,Yes,1
65,9,32833,Good,No,0
33,9,35152,Poor,No,2
33,4,9379,Fair,Yes,1
38,1,39452,Fair,Yes,1
50,5,21709,Good,Yes,0
19,6,6918,Good,No,1
26,8,41916,Poor,No,2
51,8,17212,Good,Yes,0
79,6,35178,Poor,No,2
74,8,34275,Good,Yes,0
73,9,7227,Poor,No,2
41,8,29301,Good,No,0
68,5,24622,Fair,Yes,1
32,5,4350,Fair,No,2
47,2,39365,Good,No,0
45,2,13238,Fair,No,1
21,2,49391,Fair,No,1
29,8,28823,Poor,Yes,2
28,4,46874,Good,No,0
28,1,42798,Good,Yes,0
71,7,39351,Poor,Yes,2
53,6,49564,Fair,No,1
71,9,40078,Poor,Yes,2
69,3,6940,Poor,No,1
61,8,23042,Good,No,0
60,5,14546,Poor,No,2
38,7,40848,Poor,No,2
33,3,45934,Poor,Yes,0
18,3,15578,Poor,No,0
22,9,8463,Poor,Yes,2
78,2,40792,Good,No,0
19,2,6207,Fair,Yes,1
68,6,39407,Fair,No,1
72,4,7585,Good,Yes,1
29,4,35010,Poor,Yes,0
46,3,41051,Poor,No,0
48,2,27113,Fair,No,1
41,3,19817,Poor,Yes,0
51,7,27210,Good,Yes,0
57,4,25064,Good,No,0
35,1,10598,Poor,No,1
56,6,6989,Good,Yes,1
31,8,18540,Good,No,0
54,4,6830,Fair,No,1
22,5,28862,Fair,No,1
26,8,11982,Good,Yes,1
31,3,13861,Fair,Yes,1
71,4,35378,Fair,Yes,1
64,5,16149,Good,Yes,0
28,9,34983,Poor,No,2
53,5,38257,Poor,No,2
61,4,5876,Poor,Yes,1
23,8,44184,Good,No,0
73,2,46108,Good,No,0
43,6,44648,Fair,Yes,1
41,6,13184,Poor,Yes,2
64,4,10837,Fair,No,1
72,8,24256,Fair,Yes,1
37,6,28287,Fair,Yes,1
37,5,35273,Good,Yes,0
41,8,42798,Good,No,0
36,6,21908,Poor,No,2
71,1,23704,Good,Yes,0
47,6,40678,Good,Yes,0
22,8,41842,Fair,Yes,1
77,1,22813,Poor,Yes,0
55,7,17029,Good,No,0
78,8,47885,Poor,No,2
45,5,24950,Poor,No,2
69,1,6539,Poor,No,1
70,2,17582,Good,No,0
46,9,5505,Poor,Yes,2
67,9,47222,Fair,Yes,1
67,3,34990,Poor,No,0
26,9,22617,Poor,No,2
46,3,22270,Good,No,0
40,6,8931,Poor,No,2
57,7,13363,Poor,Yes,2
76,4,3408,Fair,No,2
64,7,35995,Poor,Yes,2
70,6,3770,Good,Yes,2
70,4,41544,Fair,No,1
55,1,13866,Fair,No,1
24,1,34577,Good,Yes,0
75,3,9126,Poor,No,1
65,8,10253,Poor,No,2
40,7,22594,Poor,No,2
71,5,14348,Poor,Yes,2
21,2,24622,Poor,No,0
48,1,27665,Fair,No,1
41,4,15214,Fair,No,1
39,5,41273,Poor,Yes,2
34,9,20053,Fair,Yes,1
41,2,6731,Poor,Yes,1
56,7,41856,Good,No,0
52,3,29493,Poor,No,0
49,7,25072,Fair,Yes,1
47,4,15494,Fair,Yes,1
63,5,32654,Poor,No,2
51,9,16053,Poor,No,2
74,3,4387,Good,Yes,2
47,6,28287,Poor,No,2
69,7,11228,Fair,Yes,1
72,6,2561,Good,No,2
32,1,35995,Good,No,0
31,2,25892,Good,No,0
42,3,23007,Fair,Yes,1
52,3,14575,Good,No,1
29,6,10164,Good,No,1
18,1,46109,Good,No,0
50,1,31624,Fair,No,1
40,3,47290,Fair,No,1
55,6,13549,Good,No,1
35,1,16185,Poor,Yes,0
45,6,22364,Poor,No,2
28,1,16903,Good,No,0
74,8,49552,Good,Yes,0
18,9,30169,Fair,Yes,1
34,1,32570,Poor,Yes,0
51,3,19789,Poor,Yes,0
46,8,3857,Good,Yes,2
52,4,21431,Poor,No,0
44,8,12646,Fair,Yes,1
18,6,30663,Good,No,0
78,3,13792,Poor,Yes,1
66,7,6250,Poor,Yes,2
33,1,22878,Good,Yes,0
51,4,14538,Poor,Yes,1
54,6,4082,Good,Yes,2
60,1,15729,Poor,Yes,0
61,7,48525,Good,Yes,0
33,5,16053,Fair,Yes,1
65,3,40761,Poor,No,0
24,2,47066,Poor,No,0
21,9,45096,Fair,Yes,1
27,7,37795,Good,Yes,0
76,8,6196,Good,Yes,1
37,7,44790,Poor,No,2
53,8,9437,Good,Yes,1
53,5,31126,Good,No,0
21,1,19285,Good,Yes,0
52,2,2648,Good,No,2
44,9,46069,Poor,No,2
57,8,41688,Good,Yes,0
59,5,25492,Poor,No,2
60,8,46832,Poor,Yes,2
51,1,31645,Good,Yes,0
78,3,46101,Good,No,0
33,9,27009,Poor,Yes,2
41,3,35347,Good,Yes,0
47,3,7815,Good,Yes,1
79,4,14903,Good,No,1
54,7,33685,Fair,No,1
49,6,47931,Poor,No,2
77,4,18467,Good,Yes,0
37,1,24256,Fair,No,1
68,8,40192,Fair,Yes,1
63,2,43554,Good,Yes,0
75,6,41273,Poor,Yes,2
31,1,41334,Poor,Yes,0
40,5,35361,Poor,Yes,2
21,1,6906,Good,No,1
28,1,48525,Good,No,0
61,9,38382,Poor,Yes,2
34,4,32500,Fair,Yes,1
73,9,31645,Good,Yes,0
57,3,32833,Poor,Yes,0
37,5,26492,Fair,No,1
28,8,7145,Good,No,1
74,6,24417,Good,No,0
21,6,22870,Fair,Yes,1
50,7,13649,Good,Yes,1
20,6,48767,Poor,No,2
53,7,24944,Fair,Yes,1
79,6,21613,Good,Yes,0
24,7,42543,Poor,No,2
71,6,40811,Fair,No,1
52,7,20053,Good,Yes,0
39,4,27232,Poor,Yes,0
50,2,27665,Good,Yes,0
48,5,3040,Good,Yes,2
51,1,11956,Good,No,1
58,4,39416,Fair,Yes,1
47,4,6069,Poor,No,1
45,5,29833,Good,No,0
44,6,43268,Good,Yes,0
44,7,39465,Good,No,0
75,8,25091,Poor,Yes,2
38,1,15586,Good,No,0
53,2,37907,Fair,Yes,1
79,9,22058,Poor,No,2
35,6,39205,Fair,Yes,1
42,9,29809,Good,Yes,0
58,9,4311,Poor,Yes,2
53,5,20352,Poor,No,2
34,5,32500,Good,Yes,0
64,3,10853,Poor,Yes,1
21,8,35682,Poor,Yes,2
67,9,8463,Poor,Yes,2
23,5,38634,Poor,Yes,2
43,8,2828,Fair,Yes,2
24,3,5845,Fair,Yes,1
29,1,11445,Fair,No,1
40,3,13238,Poor,Yes,1
48,8,14345,Good,Yes,1
68,4,45444,Fair,Yes,1
41,6,3780,Good,Yes,2
62,3,14690,Fair,Yes,1
54,5,28165,Poor,Yes,2
36,7,6539,Fair,No,1
56,9,19203,Poor,Yes,2
45,5,35682,Fair,Yes,1
41,2,36784,Poor,No,0
28,2,10059,Good,Yes,1
32,5,39969,Fair,No,1
57,5,19995,Good,No,0
40,9,41828,Poor,Yes,2
72,8,10031,Poor,No,2
21,8,32308,Good,No,0
30,5,4350,Fair,Yes,2
34,1,30694,Poor,Yes,0
70,4,5580,Poor,No,1
42,2,8117,Good,Yes,1
25,8,6506,Poor,No,2
58,3,37671,Good,Yes,0
19,9,10755,Good,Yes,1
18,1,8325,Good,No,1
47,8,30779,Good,Yes,0
29,6,46042,Fair,No,1
28,9,26148,Good,No,0
29,3,35682,Fair,No,1
67,4,11196,Poor,No,1
43,4,29264,Poor,Yes,0
39,3,41051,Good,No,0
34,8,33881,Fair,Yes,1
37,8,19890,Poor,Yes,2
63,7,22235,Good,No,0
26,8,28954,Good,No,0
61,4,19722,Fair,No,1
62,8,24950,Good,Yes,0
23,5,3220,Poor,No,2
26,7,20686,Poor,No,2
37,7,8579,Fair,No,1
62,7,5505,Fair,No,1
26,5,30033,Fair,Yes,1
41,1,42707,Fair,Yes,1
75,2,27860,Poor,No,0
63,2,46004,Good,No,0
23,5,45702,Good,No,0
67,3,37155,Poor,No,0
79,4,47579,Poor,No,0
60,1,21854,Poor,No,0
67,1,47772,Fair,Yes,1
74,2,23414,Good,Yes,0
34,7,39806,Poor,Yes,2
55,4,30443,Fair,Yes,1
75,7,33857,Fair,No,1
44,6,26492,Fair,No,1
41,3,23243,Poor,No,0
39,6,4128,Good,Yes,2
69,7,22596,Good,No,0
61,3,38382,Poor,No,0
71,7,27248,Poor,No,2
64,9,6363,Fair,Yes,1
71,3,27749,Poor,Yes,0
60,3,4862,Fair,Yes,2
45,6,35273,Poor,Yes,2
61,4,13647,Poor,No,1
36,7,2648,Fair,Yes,2
48,2,4017,Good,No,2
27,1,22264,Good,No,0
78,8,30504,Good,No,0
65,7,27248,Fair,Yes,1
59,5,28912,Good,Yes,0
57,2,10462,Good,Yes,1
67,3,23648,Fair,Yes,1
71,7,31769,Good,Yes,0
34,6,20039,Poor,No,2
41,6,46707,Poor,No,2
51,4,39205,Poor,No,0
76,2,16966,Fair,Yes,1
40,4,19374,Fair,Yes,1
22,6,42544,Good,No,0
37,7,11655,Poor,No,2
33,8,35053,Fair,Yes,1
62,9,35921,Fair,Yes,1
23,9,13500,Poor,No,2
65,5,9701,Good,Yes,1
26,7,15494,Poor,Yes,2
62,6,7132,Poor,Yes,2
52,1,29301,Fair,Yes,1
42,8,20943,Good,No,0
76,7,9303,Fair,No,1
28,3,30089,Good,No,0
78,7,7336,Poor,Yes,2
62,7,46042,Poor,No,2
38,3,14549,Fair,No,1
30,1,16046,Good,Yes,0
51,1,29000,Fair,Yes,1
68,5,7827,Fair,Yes,1
68,9,5505,Fair,Yes,1
28,7,42353,Fair,No,1
75,4,33129,Good,No,0
62,8,8985,Poor,No,2
37,4,45444,Poor,No,0
50,4,49451,Good,Yes,0
48,3,36519,Poor,Yes,0
59,5,41334,Good,No,0
53,3,37306,Poor,Yes,0
25,1,49577,Good,No,0
33,2,41006,Poor,Yes,0
34,8,41826,Fair,No,1
72,6,16966,Poor,Yes,2
60,3,47808,Fair,Yes,1
52,8,21145,Poor,Yes,2
46,2,41003,Fair,Yes,1
48,9,35044,Fair,No,1
32,8,34171,Fair,No,1
42,8,9194,Fair,Yes,1
57,2,43754,Poor,Yes,0
30,5,9303,Good,No,1
57,6,17880,Poor,No,2
56,5,16415,Fair,No,1
65,4,10685,Poor,No,1
29,9,5286,Poor,No,2
29,4,22264,Good,Yes,0
43,1,8361,Poor,No,1
64,1,30782,Good,Yes,0
62,3,13647,Fair,No,1
70,2,46042,Good,Yes,0
18,9,37761,Fair,Yes,1
30,8,21814,Poor,Yes,2
37,7,47188,Poor,Yes,2
23,5,18351,Fair,Yes,1
20,4,6539,Fair,Yes,1
75,5,27907,Fair,No,1
73,3,11602,Fair,Yes,1
69,1,11196,Poor,Yes,1
47,4,26452,Poor,Yes,0
65,8,44555,Good,No,0
34,7,43792,Poor,No,2
20,9,42908,Good,No,0
31,5,26097,Poor,No,2
43,2,18488,Fair,Yes,1
33,6,13454,Good,No,1
39,9,48318,Poor,No,2
42,3,46042,Poor,No,0
78,5,43610,Good,No,0
34,9,35870,Good,Yes,0
49,9,32308,Poor,Yes,2
78,5,34990,Good,No,0
77,5,38594,Poor,No,2
55,5,12730,Good,No,1
20,9,35378,Fair,Yes,1
73,5,14883,Fair,No,1
42,2,12334,Fair,No,1
28,2,39416,Good,Yes,0
69,4,47579,Poor,Yes,0
48,1,44924,Good,Yes,0
78,3,23521,Good,Yes,0
28,2,31622,Good,No,0
46,4,31502,Fair,Yes,1
40,6,20127,Good,No,0
66,2,6672,Poor,No,1
57,6,10938,Poor,No,2
44,5,39205,Poor,No,2
44,5,3697,Fair,No,2
38,2,8325,Good,No,1
79,2,49064,Fair,No,1
56,5,23757,Poor,No,2
46,1,20402,Good,Yes,0
46,1,15729,Good,Yes,0
33,5,12977,Poor,Yes,2
37,3,43268,Good,No,0
62,2,44312,Good,Yes,0
71,5,24275,Fair,No,1
24,7,15116,Good,Yes,0
33,7,38274,Fair,No,1
76,5,17806,Good,No,0
57,2,47150,Good,No,0
72,5,3857,Fair,Yes,2
63,8,31457,Fair,Yes,1
45,5,16289,Poor,Yes,2
25,3,13792,Fair,No,1
57,6,27815,Fair,No,1
75,4,30358,Fair,Yes,1
52,7,36519,Poor,No,2
26,6,26337,Good,No,0
78,5,11980,Good,Yes,1
18,9,26442,Good,Yes,0
34,9,21738,Fair,No,1
73,4,24313,Good,No,0
29,5,33001,Fair,No,1
56,1,32342,Fair,No,1
42,7,21013,Good,Yes,0
52,4,26600,Fair,Yes,1
78,2,11602,Fair,Yes,1
46,9,31715,Fair,Yes,1
54,1,39329,Poor,Yes,0
75,6,16693,Fair,Yes,1
46,5,16235,Poor,Yes,2
43,9,47850,Good,No,0
44,5,42425,Good,No,0
29,6,11511,Fair,No,1
40,2,27005,Poor,No,0
41,1,16903,Poor,Yes,0
75,9,42162,Poor,Yes,2
76,7,4120,Fair,Yes,2
70,8,23042,Poor,No,2
42,9,19014,Fair,Yes,1
18,5,6407,Good,Yes,1
41,9,17045,Good,Yes,0
79,1,28502,Good,No,0
30,8,39966,Poor,No,2
46,7,7336,Fair,Yes,1
72,4,17026,Good,No,0
33,4,4780,Poor,Yes,2
68,2,37835,Fair,No,1
19,3,32997,Good,Yes,0
36,4,18643,Poor,Yes,0
43,3,13487,Fair,No,1
75,7,30358,Poor,Yes,2
21,8,16966,Good,No,0
28,2,4772,Fair,Yes,2
52,1,24995,Fair,Yes,1
40,5,18982,Good,Yes,0
32,8,3040,Fair,Yes,2
54,5,18234,Good,No,0
69,2,43907,Poor,Yes,0
52,8,24945,Good,Yes,0
47,3,39416,Fair,No,1
21,5,2012,Good,No,2
38,5,49930,Good,Yes,0
51,3,33036,Good,No,0
49,3,44184,Poor,No,0
63,3,39290,Good,Yes,0
59,4,34657,Fair,No,1
26,6,39274,Fair,Yes,1
39,5,17031,Poor,No,2
37,5,20706,Good,No,0
21,9,33237,Fair,Yes,1
25,2,46109,Good,Yes,0
49,3,21898,Poor,Yes,0
23,1,22319,Good,Yes,0
63,4,32997,Fair,Yes,1
61,5,4387,Fair,No,2
45,5,31800,Good,No,0
61,3,3769,Fair,Yes,2
64,6,34078,Fair,No,1
66,9,39229,Fair,No,1
44,7,39166,Poor,Yes,2
55,9,38036,Fair,No,1
64,7,2329,Poor,Yes,2
53,9,3195,Poor,No,2
34,4,24944,Good,Yes,0
50,4,34624,Good,No,0
62,1,6207,Fair,No,1
65,3,28805,Fair,No,1
46,8,49243,Poor,No,2
35,2,36026,Poor,No,0
55,6,22617,Poor,No,2
37,8,33203,Good,No,0
31,7,2648,Fair,No,2
52,4,18217,Fair,No,1
42,6,45141,Poor,Yes,2
70,2,20553,Good,Yes,0
51,7,47926,Poor,Yes,2
42,7,15124,Fair,Yes,1
66,1,47189,Poor,No,0
59,9,6152,Fair,No,1
78,4,38863,Poor,Yes,0
58,9,39229,Fair,No,1
68,9,2023,Poor,Yes,2
66,9,26084,Good,No,0
65,3,36994,Good,Yes,0
79,6,12583,Good,Yes,1
77,1,40527,Good,No,0
48,5,26568,Good,Yes,0
29,7,6940,Fair,Yes,1
31,9,5811,Good,Yes,1
54,7,9601,Poor,Yes,2
63,8,42543,Fair,No,1
35,7,32487,Fair,Yes,1
56,8,2286,Good,Yes,2
72,7,4618,Poor,Yes,2
54,9,44790,Fair,No,1
47,5,5506,Fair,No,1
39,6,5617,Good,No,1
29,3,26082,Poor,No,0
60,1,30635,Fair,Yes,1
29,8,39969,Good,No,0
73,8,3995,Fair,No,2
75,2,10005,Poor,No,1
73,1,35056,Poor,Yes,0
42,8,26171,Good,Yes,0
45,7,46403,Fair,No,1
69,2,43773,Fair,No,1
36,1,43773,Poor,No,0
24,2,4618,Good,No,2
77,4,33653,Poor,Yes,0
45,7,19203,Fair,Yes,1
68,4,7607,Fair,Yes,1
34,2,43268,Fair,Yes,1
49,9,9278,Fair,Yes,1
56,1,43610,Good,No,0
65,1,13929,Poor,No,1
69,8,43509,Poor,Yes,2
39,7,35056,Fair,Yes,1
76,7,38036,Fair,Yes,1
30,1,23007,Fair,Yes,1
58,7,14345,Fair,No,1
69,9,29937,Poor,Yes,2
75,5,14534,Poor,Yes,2
69,8,35841,Good,No,0
19,5,7508,Fair,No,1
40,4,17826,Good,No,0
26,4,11193,Fair,No,1
73,8,31769,Good,Yes,0
34,8,16046,Fair,No,1
31,5,5732,Poor,No,2
30,9,44663,Fair,No,1
21,6,46384,Fair,Yes,1
19,1,11363,Poor,No,1
56,8,5009,Good,Yes,1
59,1,30635,Fair,Yes,1
25,1,28735,Poor,Yes,0
66,9,7702,Good,No,1
71,4,21814,Poor,No,0
23,4,17998,Poor,Yes,0
30,6,44621,Fair,No,1
34,4,19541,Poor,Yes,0
35,7,2956,Good,No,2
39,8,47210,Poor,No,2
47,5,8465,Good,Yes,1
32,7,10195,Poor,No,2
44,3,7145,Good,No,1
58,4,7616,Fair,Yes,1
43,9,20819,Good,No,0
50,5,13454,Good,Yes,1
48,8,46478,Fair,No,1
61,8,21632,Poor,No,2
52,3,27905,Good,No,0
57,6,13573,Good,No,1
28,2,49564,Poor,No,0
22,6,7465,Poor,Yes,2
51,3,30682,Good,Yes,0
69,6,8726,Good,Yes,1
44,2,14499,Fair,No,1
35,3,37795,Good,Yes,0
71,6,7886,Poor,Yes,2
22,6,8575,Fair,No,1
43,2,17378,Poor,Yes,0
51,1,16216,Good,No,0
23,6,44655,Good,No,0
21,7,39487,Fair,No,1
19,9,23920,Good,Yes,0
18,3,40078,Good,No,0
39,9,21613,Good,Yes,0
47,5,16283,Poor,No,2
38,8,19600,Poor,No,2
25,4,12335,Fair,No,1
41,3,10837,Good,No,1
73,2,49987,Poor,Yes,0
40,8,46004,Fair,No,1
21,4,3671,Fair,No,2
45,8,20402,Fair,No,1
72,9,8355,Poor,Yes,2
36,8,34275,Fair,Yes,1
68,8,25154,Fair,Yes,1
22,8,14707,Fair,Yes,1
37,1,44648,Good,Yes,0
67,1,38399,Poor,Yes,0
20,2,9080,Poor,No,1
28,3,25492,Fair,Yes,1
20,8,28077,Good,No,0
71,9,32230,Poor,Yes,2
21,4,38721,Good,No,0
45,5,35152,Poor,Yes,2
75,1,42740,Good,Yes,0
65,2,35327,Poor,No,0
25,1,17949,Fair,Yes,1
76,9,3355,Good,No,2
54,6,7508,Good,Yes,1
54,7,48767,Fair,No,1
70,5,27702,Poor,Yes,2
62,9,41572,Fair,No,1
69,7,30358,Good,No,0
70,6,34990,Good,Yes,0
44,5,33521,Fair,Yes,1
72,9,21531,Good,No,0
27,8,36942,Poor,No,2
24,2,5214,Fair,No,1
48,2,24533,Good,Yes,0
62,9,4126,Poor,Yes,2
50,5,23646,Good,Yes,0
50,5,41212,Fair,Yes,1
33,1,46613,Good,Yes,0
75,8,33142,Poor,Yes,2
